UniProt ID,Gene,Protein Name,Panel
Q6UW49,SPESP1,Sperm equatorial segment protein 1,"Explore HT assay library, Olink Explore Cardiometabolic II"
Q6UXI7,VIT,Vitrin,"Explore HT assay library, Olink Explore Cardiometabolic II"
Q6ZRY4,RBPMS2,RNA-binding protein with multiple splicing 2,"Explore HT assay library, Olink Explore Cardiometabolic II"
Q86VP3,PACS2,Phosphofurin acidic cluster sorting protein 2,"Explore HT assay library, Olink Explore Cardiometabolic II"
Q86VR7,VSIG10L,V-set and immunoglobulin domain-containing protein 10-like,"Explore HT assay library, Olink Explore Cardiometabolic II"
Q8IZC4,RTKN2,Rhotekin-2,"Explore HT assay library, Olink Explore Cardiometabolic II"
Q8N8E3,CEP112,Centrosomal protein of 112 kDa,"Explore HT assay library, Olink Explore Cardiometabolic II"
Q8NDI1,EHBP1,EH domain-binding protein 1,"Explore HT assay library, Olink Explore Cardiometabolic II"
Q8TDY8,IGDCC4,Immunoglobulin superfamily DCC subclass member 4,"Explore HT assay library, Olink Explore Cardiometabolic II"
Q8WXC3,PYDC1,Pyrin domain-containing protein 1,"Explore HT assay library, Olink Explore Cardiometabolic II"
Q93052,LPP,Lipoma-preferred partner,"Explore HT assay library, Olink Explore Cardiometabolic II"
Q96C92,ENTR1,Endosome-associated-trafficking regulator 1,"Explore HT assay library, Olink Explore Cardiometabolic II"
Q96K76,USP47,Ubiquitin carboxyl-terminal hydrolase 47,"Explore HT assay library, Olink Explore Cardiometabolic II"
Q9BW04,SARG,Specifically androgen-regulated gene protein,"Explore HT assay library, Olink Explore Cardiometabolic II"
Q9H2X3,CLEC4M,C-type lectin domain family 4 member M,"Explore HT assay library, Olink Explore Cardiometabolic II"
Q9NVZ3,NECAP2,Adaptin ear-binding coat-associated protein 2,"Explore HT assay library, Olink Explore Cardiometabolic II"
Q9NYZ4,SIGLEC8,Sialic acid-binding Ig-like lectin 8,"Explore HT assay library, Olink Explore Cardiometabolic II"
Q9UJ70,NAGK,N-acetyl-D-glucosamine kinase,"Explore HT assay library, Olink Explore Cardiometabolic II"
Q9Y3B8,REXO2,"Oligoribonuclease, mitochondrial","Explore HT assay library, Olink Explore Cardiometabolic II"
Q9Y4C8,RBM19,Probable RNA-binding protein 19,"Explore HT assay library, Olink Explore Cardiometabolic II"
A6BM72,MEGF11,Multiple epidermal growth factor-like domains protein 11,"Explore HT assay library, Olink Explore Cardiometabolic II"
O43423,ANP32CP,Putative uncharacterized protein ANP32CP,"Explore HT assay library, Olink Explore Cardiometabolic II"
O43896,KIF1C,Kinesin-like protein KIF1C,"Explore HT assay library, Olink Explore Cardiometabolic II"
O75339,CILP,Cartilage intermediate layer protein 1,"Explore HT assay library, Olink Explore Cardiometabolic II"
P23467,PTPRB,Receptor-type tyrosine-protein phosphatase beta,"Explore HT assay library, Olink Explore Cardiometabolic II"
P32241,VIPR1,Vasoactive intestinal polypeptide receptor 1,"Explore HT assay library, Olink Explore Cardiometabolic II"
P35606,COPB2,Coatomer subunit beta',"Explore HT assay library, Olink Explore Cardiometabolic II"
P49593,PPM1F,Protein phosphatase 1F,"Explore HT assay library, Olink Explore Cardiometabolic II"
P59901,LILRA4,Leukocyte immunoglobulin-like receptor subfamily A member 4,"Explore HT assay library, Olink Explore Cardiometabolic II"
Q00872,MYBPC1,"Myosin-binding protein C, slow-type","Explore HT assay library, Olink Explore Cardiometabolic II"
Q13296,SCGB2A2,Mammaglobin-A,"Explore HT assay library, Olink Explore Cardiometabolic II"
Q13428,TCOF1,Treacle protein,"Explore HT assay library, Olink Explore Cardiometabolic II"
Q15018,ABRAXAS2,BRISC complex subunit Abraxas 2,"Explore HT assay library, Olink Explore Cardiometabolic II"
Q5W0V3,FHIP2A,FHF complex subunit HOOK interacting protein 2A,"Explore HT assay library, Olink Explore Cardiometabolic II"
Q6IBS0,TWF2,Twinfilin-2,"Explore HT assay library, Olink Explore Cardiometabolic II"
Q6NUS6,TCTN3,Tectonic-3,"Explore HT assay library, Olink Explore Cardiometabolic II"
Q6ZN66,GBP6,Guanylate-binding protein 6,"Explore HT assay library, Olink Explore Cardiometabolic II"
Q7Z7K0,CMC1,COX assembly mitochondrial protein homolog,"Explore HT assay library, Olink Explore Cardiometabolic II"
Q8WWV6,FCAMR,High affinity immunoglobulin alpha and immunoglobulin mu Fc receptor,"Explore HT assay library, Olink Explore Cardiometabolic II"
Q96A35,MRPL24,Large ribosomal subunit protein uL24m,"Explore HT assay library, Olink Explore Cardiometabolic II"
Q96EM0,L3HYPDH,Trans-3-hydroxy-L-proline dehydratase,"Explore HT assay library, Olink Explore Cardiometabolic II"
Q96IW2,SHD,SH2 domain-containing adapter protein D,"Explore HT assay library, Olink Explore Cardiometabolic II"
Q96LB8,PGLYRP4,Peptidoglycan recognition protein 4,"Explore HT assay library, Olink Explore Cardiometabolic II"
Q99942,RNF5,E3 ubiquitin-protein ligase RNF5,"Explore HT assay library, Olink Explore Cardiometabolic II"
Q9BW61,DDA1,DET1- and DDB1-associated protein 1,"Explore HT assay library, Olink Explore Cardiometabolic II"
Q9BXN1,ASPN,Asporin,"Explore HT assay library, Olink Explore Cardiometabolic II"
Q9H347,UBQLN3,Ubiquilin-3,"Explore HT assay library, Olink Explore Cardiometabolic II"
Q9UQP3,TNN,Tenascin-N,"Explore HT assay library, Olink Explore Cardiometabolic II"
Q9Y623,MYH4,Myosin-4,"Explore HT assay library, Olink Explore Cardiometabolic II"
P13647,KRT5,"Keratin, type II cytoskeletal 5","Explore HT assay library, Olink Explore Neurology"
P46013,MKI67,Proliferation marker protein Ki-67,"Explore HT assay library, Olink Explore Inflammation II"
P05787,KRT8,"Keratin, type II cytoskeletal 8","Explore HT assay library, Olink Explore Neurology II"
P14091,CTSE,Cathepsin E,"Explore HT assay library, Olink Explore Inflammation II"
P05546,SERPIND1,Heparin cofactor 2,"Explore HT assay library, Olink Explore Inflammation II"
Q96Q89,KIF20B,Kinesin-like protein KIF20B,"Explore HT assay library, Olink Explore Neurology II"
P32455,GBP1,Guanylate-binding protein 1,"Explore HT assay library, Olink Explore Neurology II"
P09914,IFIT1,Interferon-induced protein with tetratricopeptide repeats 1,"Explore HT assay library, Olink Explore Oncology II"
Q765P7,MTSS2,Protein MTSS 2,"Explore HT assay library, Olink Explore Oncology II"
Q9UNP9,PPIE,Peptidyl-prolyl cis-trans isomerase E,"Explore HT assay library, Olink Explore Oncology II"
Q9UK41,VPS28,Vacuolar protein sorting-associated protein 28 homolog,"Explore HT assay library, Olink Explore Oncology II"
Q9NR46,SH3GLB2,Endophilin-B2,"Explore HT assay library, Olink Explore Neurology II"
Q9H171,ZBP1,Z-DNA-binding protein 1,"Explore HT assay library, Olink Explore Inflammation II"
Q96QR1,SCGB3A1,Secretoglobin family 3A member 1,"Explore HT assay library, Olink Explore Inflammation II"
Q92619,ARHGAP45,Rho GTPase-activating protein 45,"Explore HT assay library, Olink Explore Inflammation II"
Q6ZUT3,FRMD7,FERM domain-containing protein 7,"Explore HT assay library, Olink Explore Neurology II"
Q6P1M0,SLC27A4,Long-chain fatty acid transport protein 4,"Explore HT assay library, Olink Explore Neurology"
Q14149,MORC3,MORC family CW-type zinc finger protein 3,"Explore HT assay library, Olink Explore Neurology II"
Q12849,GRSF1,G-rich sequence factor 1,"Explore HT assay library, Olink Explore Oncology II"
Q01826,SATB1,DNA-binding protein SATB1,"Explore HT assay library, Olink Explore Neurology II"
P81534,"DEFB103A, DEFB103B",Beta-defensin 103,"Explore HT assay library, Olink Explore Inflammation II"
P49454,CENPF,Centromere protein F,"Explore HT assay library, Olink Explore Oncology II"
P23276,KEL,Kell blood group glycoprotein,"Explore HT assay library, Olink Explore Neurology"
P22079,LPO,Lactoperoxidase,"Explore HT assay library, Olink Explore Neurology"
P17050,NAGA,Alpha-N-acetylgalactosaminidase,"Explore HT assay library, Olink Explore Inflammation II"
O60235,TMPRSS11D,Transmembrane protease serine 11D,"Explore HT assay library, Olink Explore Neurology II"
Q8IZJ0,IFNL2,Interferon lambda-2,"Explore HT assay library, Olink Explore Neurology II"
Q9HC57,WFDC1,WAP four-disulfide core domain protein 1,"Explore HT assay library, Olink Explore Oncology II"
O95467,GNAS,Neuroendocrine secretory protein 55,"Explore HT assay library, Olink Explore Neurology II"
Q9UKW4,VAV3,Guanine nucleotide exchange factor VAV3,"Explore HT assay library, Olink Explore Neurology II"
Q6UW15,REG3G,Regenerating islet-derived protein 3-gamma,"Explore HT assay library, Olink Explore Oncology II"
Q9BY41,HDAC8,Histone deacetylase 8,"Explore HT assay library, Olink Explore Inflammation II"
O14745,NHERF1,Na(+)/H(+) exchange regulatory cofactor NHE-RF1,"Explore HT assay library, Olink Explore Inflammation II"
Q9UMS0,NFU1,"NFU1 iron-sulfur cluster scaffold homolog, mitochondrial","Explore HT assay library, Olink Explore Oncology II"
Q8TCU4,ALMS1,Centrosome-associated protein ALMS1,"Explore HT assay library, Olink Explore Oncology II"
Q9NQ48,LZTFL1,Leucine zipper transcription factor-like protein 1,"Explore HT assay library, Olink Explore Inflammation II"
Q96P66,GPR101,Probable G-protein coupled receptor 101,"Explore HT assay library, Olink Explore Neurology II"
Q8IY33,MICALL2,MICAL-like protein 2,"Explore HT assay library, Olink Explore Neurology II"
Q86SQ7,SDCCAG8,Serologically defined colon cancer antigen 8,"Explore HT assay library, Olink Explore Oncology II"
O75665,OFD1,Centriole and centriolar satellite protein OFD1,"Explore HT assay library, Olink Explore Oncology II"
O15078,CEP290,Centrosomal protein of 290 kDa,"Explore HT assay library, Olink Explore Oncology II"
Q86VW0,SESTD1,SEC14 domain and spectrin repeat-containing protein 1,"Explore HT assay library, Olink Explore Neurology"
Q4ZHG4,FNDC1,Fibronectin type III domain-containing protein 1,"Explore HT assay library, Olink Explore Neurology II"
Q15223,NECTIN1,Nectin-1,"Explore HT assay library, Olink Explore Inflammation II"
Q9UQ16,DNM3,Dynamin-3,"Explore HT assay library, Olink Explore Neurology II"
Q9NP85,NPHS2,Podocin,"Explore HT assay library, Olink Explore Inflammation II"
Q9H2G2,SLK,STE20-like serine/threonine-protein kinase,"Explore HT assay library, Olink Explore Oncology II"
Q96A00,PPP1R14A,Protein phosphatase 1 regulatory subunit 14A,"Explore HT assay library, Olink Explore Neurology II"
Q6UWJ8,CD164L2,CD164 sialomucin-like 2 protein,"Explore HT assay library, Olink Explore Neurology II"
Q4VCS5,AMOT,Angiomotin,"Explore HT assay library, Olink Explore Inflammation II"
P62330,ARF6,ADP-ribosylation factor 6,"Explore HT assay library, Olink Explore Oncology II"
P53814,SMTN,Smoothelin,"Explore HT assay library, Olink Explore Neurology II"
P27348,YWHAQ,14-3-3 protein theta,"Explore HT assay library, Olink Explore Inflammation II"
P04808,RLN1,Prorelaxin H1,"Explore HT assay library, Olink Explore Neurology II"
O15013,ARHGEF10,Rho guanine nucleotide exchange factor 10,"Explore HT assay library, Olink Explore Neurology II"
Q9Y2X7,GIT1,ARF GTPase-activating protein GIT1,"Explore HT assay library, Olink Explore Inflammation II"
Q96J84,KIRREL1,Kin of IRRE-like protein 1,"Explore HT assay library, Olink Explore Neurology II"
P20827,EFNA1,Ephrin-A1,"Explore HT assay library, Olink Explore Neurology"
Q02747,GUCA2A,Guanylin,"Explore HT assay library, Olink Explore Neurology"
Q9NZD4,AHSP,Alpha-hemoglobin-stabilizing protein,"Explore HT assay library, Olink Explore Neurology"
Q53GL0,PLEKHO1,Pleckstrin homology domain-containing family O member 1,"Explore HT assay library, Olink Explore Neurology II"
P48165,GJA8,Gap junction alpha-8 protein,"Explore HT assay library, Olink Explore Oncology II"
Q9Y3C4,TPRKB,EKC/KEOPS complex subunit TPRKB,"Explore HT assay library, Olink Explore Oncology II"
Q8WX93,PALLD,Palladin,"Explore HT assay library, Olink Explore Inflammation II"
O75792,RNASEH2A,Ribonuclease H2 subunit A,"Explore HT assay library, Olink Explore Neurology II"
Q92932,PTPRN2,Receptor-type tyrosine-protein phosphatase N2,"Explore HT assay library, Olink Explore Neurology"
Q9BXJ0,C1QTNF5,Complement C1q tumor necrosis factor-related protein 5,"Explore HT assay library, Olink Explore Inflammation II"
O75794,CDC123,Cell division cycle protein 123 homolog,"Explore HT assay library, Olink Explore Oncology II"
P49366,DHPS,Deoxyhypusine synthase,"Explore HT assay library, Olink Explore Oncology II"
P19075,TSPAN8,Tetraspanin-8,"Explore HT assay library, Olink Explore Oncology II"
P07766,CD3E,T-cell surface glycoprotein CD3 epsilon chain,"Explore HT assay library, Olink Explore Oncology II"
O95202,LETM1,Mitochondrial proton/calcium exchanger protein,"Explore HT assay library, Olink Explore Neurology II"
Q9Y5Q6,INSL5,Insulin-like peptide INSL5,"Explore HT assay library, Olink Explore Oncology II"
Q9Y3L3,SH3BP1,SH3 domain-binding protein 1,"Explore HT assay library, Olink Explore Oncology II"
Q9UNZ2,NSFL1C,NSFL1 cofactor p47,"Explore HT assay library, Olink Explore Neurology"
Q9UMX5,NENF,Neudesin,"Explore HT assay library, Olink Explore Oncology II"
Q9H8Y8,GORASP2,Golgi reassembly-stacking protein 2,"Explore HT assay library, Olink Explore Oncology II"
Q9BZE9,ASPSCR1,Tether containing UBX domain for GLUT4,"Explore HT assay library, Olink Explore Neurology II"
Q93033,CD101,Immunoglobulin superfamily member 2,"Explore HT assay library, Olink Explore Oncology II"
Q92783,STAM,Signal transducing adapter molecule 1,"Explore HT assay library, Olink Explore Oncology II"
Q6UX71,PLXDC2,Plexin domain-containing protein 2,"Explore HT assay library, Olink Explore Neurology II"
Q15025,TNIP1,TNFAIP3-interacting protein 1,"Explore HT assay library, Olink Explore Neurology II"
Q13938,CAPS,Calcyphosin,"Explore HT assay library, Olink Explore Neurology II"
Q08830,FGL1,Fibrinogen-like protein 1,"Explore HT assay library, Olink Explore Inflammation II"
P51460,INSL3,Insulin-like 3,"Explore HT assay library, Olink Explore Neurology II"
P43652,AFM,Afamin,"Explore HT assay library, Olink Explore Inflammation II"
P30040,ERP29,Endoplasmic reticulum resident protein 29,"Explore HT assay library, Olink Explore Inflammation II"
P20807,CAPN3,Calpain-3,"Explore HT assay library, Olink Explore Oncology II"
O15389,SIGLEC5,Sialic acid-binding Ig-like lectin 5,"Explore HT assay library, Olink Explore Neurology"
O15164,TRIM24,Transcription intermediary factor 1-alpha,"Explore HT assay library, Olink Explore Oncology II"
Q86UE4,MTDH,Protein LYRIC,"Explore HT assay library, Olink Explore Inflammation II"
Q9UBB4,ATXN10,Ataxin-10,"Explore HT assay library, Olink Explore Neurology"
Q8WWN9,IPCEF1,Interactor protein for cytohesin exchange factors 1,"Explore HT assay library, Olink Explore Neurology"
O00559,EBAG9,Receptor-binding cancer antigen expressed on SiSo cells,"Explore HT assay library, Olink Explore Neurology"
A1E959,ODAM,Odontogenic ameloblast-associated protein,"Explore HT assay library, Olink Explore Neurology"
A1KZ92,PXDNL,Probable oxidoreductase PXDNL,"Explore HT assay library, Olink Explore Oncology II"
A2VDF0,FUOM,Fucose mutarotase,"Explore HT assay library, Olink Explore Inflammation II"
A6NC86,PINLYP,phospholipase A2 inhibitor and Ly6/PLAUR domain-containing protein,"Explore HT assay library, Olink Explore Inflammation II"
A6NFN3,RBFOX3,RNA binding protein fox-1 homolog 3,"Explore HT assay library, Olink Explore Neurology II"
A6NGG8,PCARE,Photoreceptor cilium actin regulator,"Explore HT assay library, Olink Explore Neurology II"
A6NGN9,IGLON5,IgLON family member 5,"Explore HT assay library, Olink Explore Oncology II"
A6NLU5,VSTM2B,V-set and transmembrane domain-containing protein 2B,"Explore HT assay library, Olink Explore Oncology II"
A6NM11,LRRC37A2,Leucine-rich repeat-containing protein 37A2,"Explore HT assay library, Olink Explore Oncology II"
A7E2Y1,MYH7B,Myosin-7B,"Explore HT assay library, Olink Explore Oncology II"
A8MTB9,CEACAM18,Carcinoembryonic antigen-related cell adhesion molecule 18,"Explore HT assay library, Olink Explore Oncology II"
A8MVW0,FAM171A2,Protein FAM171A2,"Explore HT assay library, Olink Explore Neurology II"
A8MVW5,HEPACAM2,HEPACAM family member 2,"Explore HT assay library, Olink Explore Neurology II"
A8MVZ5,BTNL10P,Putative butyrophilin-like protein 10 pseudogene,"Explore HT assay library, Olink Explore Oncology II"
A8MYV0,DCDC2C,Doublecortin domain-containing protein 2C,"Explore HT assay library, Olink Explore Oncology II"
B0FP48,UPK3BL1,Uroplakin-3b-like protein 1,"Explore HT assay library, Olink Explore Oncology II"
B6A8C7,TARM1,"T-cell-interacting, activating receptor on myeloid cells protein 1","Explore HT assay library, Olink Explore Neurology II"
O00203,AP3B1,AP-3 complex subunit beta-1,"Explore HT assay library, Olink Explore Oncology II"
O00337,SLC28A1,Sodium/nucleoside cotransporter 1,"Explore HT assay library, Olink Explore Oncology II"
O00422,SAP18,Histone deacetylase complex subunit SAP18,"Explore HT assay library, Olink Explore Oncology II"
O00534,VWA5A,von Willebrand factor A domain-containing protein 5A,"Explore HT assay library, Olink Explore Oncology II"
O14523,C2CD2L,Phospholipid transfer protein C2CD2L,"Explore HT assay library, Olink Explore Neurology"
O14579,COPE,Coatomer subunit epsilon,"Explore HT assay library, Olink Explore Neurology"
